tag,avg_acc,base_lr,ttt_loss_scale,ttt_reg_lambda,entropy_threshold,alpha_max,lr_scale_max
blr0.05_ls0.05_reg0.02_thr0.85_am0.3_lrm0.3,0.8256705072191026,0.05,0.05,0.02,0.85,0.3,0.3
blr0.05_ls0.05_reg0.02_thr0.85_am0.3_lrm0.5,0.8256705072191026,0.05,0.05,0.02,0.85,0.3,0.5
blr0.05_ls0.05_reg0.02_thr0.85_am0.5_lrm0.3,0.8256705072191026,0.05,0.05,0.02,0.85,0.5,0.3
blr0.05_ls0.05_reg0.02_thr0.85_am0.5_lrm0.5,0.8256705072191026,0.05,0.05,0.02,0.85,0.5,0.5
blr0.05_ls0.05_reg0.02_thr0.95_am0.3_lrm0.3,0.8256705072191026,0.05,0.05,0.02,0.95,0.3,0.3
blr0.05_ls0.05_reg0.02_thr0.95_am0.3_lrm0.5,0.8256705072191026,0.05,0.05,0.02,0.95,0.3,0.5
blr0.05_ls0.05_reg0.02_thr0.95_am0.5_lrm0.3,0.8256705072191026,0.05,0.05,0.02,0.95,0.5,0.3
blr0.05_ls0.05_reg0.02_thr0.95_am0.5_lrm0.5,0.8256705072191026,0.05,0.05,0.02,0.95,0.5,0.5
blr0.05_ls0.05_reg0.02_thr1.05_am0.3_lrm0.3,0.8256705072191026,0.05,0.05,0.02,1.05,0.3,0.3
blr0.05_ls0.05_reg0.02_thr1.05_am0.3_lrm0.5,0.8256705072191026,0.05,0.05,0.02,1.05,0.3,0.5
blr0.05_ls0.05_reg0.02_thr1.05_am0.5_lrm0.3,0.8256705072191026,0.05,0.05,0.02,1.05,0.5,0.3
blr0.05_ls0.05_reg0.02_thr1.05_am0.5_lrm0.5,0.8256705072191026,0.05,0.05,0.02,1.05,0.5,0.5
blr0.05_ls0.05_reg0.05_thr0.85_am0.3_lrm0.3,0.8352490464846293,0.05,0.05,0.05,0.85,0.3,0.3
blr0.05_ls0.05_reg0.05_thr0.85_am0.3_lrm0.5,0.8352490464846293,0.05,0.05,0.05,0.85,0.3,0.5
blr0.05_ls0.05_reg0.05_thr0.85_am0.5_lrm0.3,0.8352490464846293,0.05,0.05,0.05,0.85,0.5,0.3
blr0.05_ls0.05_reg0.05_thr0.85_am0.5_lrm0.5,0.8352490464846293,0.05,0.05,0.05,0.85,0.5,0.5
blr0.05_ls0.05_reg0.05_thr0.95_am0.3_lrm0.3,0.8333333333333334,0.05,0.05,0.05,0.95,0.3,0.3
blr0.05_ls0.05_reg0.05_thr0.95_am0.3_lrm0.5,0.8352490464846293,0.05,0.05,0.05,0.95,0.3,0.5
blr0.05_ls0.05_reg0.05_thr0.95_am0.5_lrm0.3,0.8352490464846293,0.05,0.05,0.05,0.95,0.5,0.3
blr0.05_ls0.05_reg0.05_thr0.95_am0.5_lrm0.5,0.8352490464846293,0.05,0.05,0.05,0.95,0.5,0.5
blr0.05_ls0.05_reg0.05_thr1.05_am0.3_lrm0.3,0.8333333333333334,0.05,0.05,0.05,1.05,0.3,0.3
blr0.05_ls0.05_reg0.05_thr1.05_am0.3_lrm0.5,0.8333333333333334,0.05,0.05,0.05,1.05,0.3,0.5
blr0.05_ls0.05_reg0.05_thr1.05_am0.5_lrm0.3,0.8333333333333334,0.05,0.05,0.05,1.05,0.5,0.3
blr0.05_ls0.05_reg0.05_thr1.05_am0.5_lrm0.5,0.8352490464846293,0.05,0.05,0.05,1.05,0.5,0.5
blr0.05_ls0.05_reg0.1_thr0.85_am0.3_lrm0.3,0.808429115348392,0.05,0.05,0.1,0.85,0.3,0.3
blr0.05_ls0.05_reg0.1_thr0.85_am0.3_lrm0.5,0.808429115348392,0.05,0.05,0.1,0.85,0.3,0.5
blr0.05_ls0.05_reg0.1_thr0.85_am0.5_lrm0.3,0.808429115348392,0.05,0.05,0.1,0.85,0.5,0.3
